,place,category,location
0,백세삼계탕 고양점,백숙|삼계탕,경기도 고양시 덕양구
1,아지와이,카페|디저트,경기도 안성시 원곡면
2,비마이게스트,브런치,제주특별자치도 제주시 한림읍
3,자매국수,국수,제주특별자치도 제주시 삼도이동
4,조은전골칼국수,칼국수|만두,인천광역시 중구 중산동
5,보스대게,대게요리,강원도 삼척시 갈천동
6,토모루스시,초밥|롤,대구광역시 중구 삼덕동1가
7,판장횟집,생선회,충청북도 보은군 회남면
8,아미꼬뜨,카페|디저트,경상북도 청도군 매전면
9,속초751샌드위치,카페|디저트,강원도 속초시 교동
10,한라참치,생선회,서울특별시 구로구 고척동
11,금샘다방,카페|디저트,부산광역시 금정구 남산동
12,비엣,카페|디저트,경상북도 경주시 사정동
13,알베로,카페|디저트,경상남도 김해시 대동면
14,화려한 경양식,양식,경기도 파주시 다율동
15,부산집,오뎅|꼬치,서울특별시 마포구 동교동
16,원조본가손맛집,한식,경기도 부천시 중동
17,긴자회수산,생선회,전라남도 목포시 상동
18,윤성용레스토랑,이탈리아음식,서울특별시 마포구 연남동
19,파크더블유,카페|디저트,서울특별시 중랑구 망우동
20,서서주방,요리주점,부산광역시 동래구 안락동
21,은하수,카페|디저트,강원도 강릉시 성남동
22,몬테쿠치나,이탈리아음식,경기도 여주시 북내면
23,피그말리온 마석점,돈가스,경기도 남양주시 화도읍
24,엘리스 오븐,카페|디저트,경기도 파주시 광탄면
25,밀사랑칼국수,칼국수|만두,서울특별시 종로구 인의동
26,신털뫼,백숙|삼계탕,경기도 양주시 장흥면
27,콩만한커피알만한케익,케이크전문,경기도 군포시 산본동
28,해물왕창칼국수,칼국수|만두,부산광역시 사상구 덕포동
29,여주돈까스여행,양식,경기도 여주시 연양동
30,황소양곱창,곱창|막창|양,경기도 구리시 교문동
31,제주시새우리,도시락|컵밥,제주특별자치도 제주시 삼도이동
32,문어부인삼교비,문어부인삼교비,서울특별시 구로구 신도림동
33,카페더웰,카페|디저트,경기도 성남시 분당구
34,어 로프 슬라이스 피스,카페|디저트,경기도 용인시 처인구
35,종로제면소,국수,충청남도 천안시 서북구
36,양스,양갈비,경기도 파주시 와동동
37,스시도감,초밥|롤,광주광역시 서구 치평동
38,명인고기,소고기구이,서울특별시 구로구 구로동
39,고읍동 쭈꾸미아저씨,주꾸미요리,경기도 양주시 광사동
40,착한스시,일식당,제주특별자치도 제주시 한림읍
41,어반레시피,이탈리아음식,광주광역시 동구 운림동
42,숯불에닭 김포사우점,닭요리,경기도 김포시 사우동
43,제이스맨션,카페,충청남도 천안시 서북구
44,그렇게함박이된다,양식,경기도 수원시 팔달구
45,루가밀팩토리,카페|디저트,충청남도 천안시 동남구
46,권기영스시,초밥|롤,서울특별시 중랑구 묵동
47,카페플러그,카페|디저트,충청남도 천안시 서북구
48,해로,일식당,부산광역시 영도구 영선동4가
49,빈야드 케이크,카페|디저트,경상북도 포항시 남구
50,육회한통닭 야탑점,치킨|닭강정,경기도 성남시 분당구
51,미호,초밥|롤,서울특별시 송파구 방이동
52,세븐스플로어,이탈리아음식,인천광역시 부평구 부평동
53,꼬뎅마루야탑점,오뎅|꼬치,경기도 성남시 분당구
54,청정계곡,정육식당,충청남도 천안시 서북구
55,1984서울포차,요리주점,서울특별시 구로구 개봉동
56,경방루,중식당,전라북도 남원시 금동
57,뉴욕엔와이,스테이크|립,경기도 고양시 일산동구
58,바오하우스,중식당,부산광역시 부산진구 전포동
59,페이지37,카페|디저트,인천광역시 서구 청라동
60,호유동 범계점,덮밥,경기도 안양시 동안구
61,티하철,차,서울특별시 송파구 방이동
62,함선생 카이센동,일식당,서울특별시 용산구 이태원동
63,리틀넥 청담,이탈리아음식,서울특별시 강남구 신사동
64,라이언하트,바(BAR),서울특별시 송파구 송파동
65,호재돈까스,돈가스,서울특별시 노원구 월계동
66,봄띠,스파게티|파스타전문,서울특별시 마포구 연남동
67,대쿠이 본점,돈가스,대구광역시 남구 대명동
